Previous Rank,Weeks on List,ISBN,Price,Author,Title,Rank,List,Week
2,6,9781501178511,18,Doug Stanton,12 Strong,3,Trade Paperback Nonfiction,2/7/2018
4,21,9781455540013,15.99,Douglas J. Preston,The Lost City of the Monkey God,4,Trade Paperback Nonfiction,2/7/2018
5,22,9781250076229,16,Atul Gawande,Being Mortal,5,Trade Paperback Nonfiction,2/7/2018
8,75,9781633690196,24.95,Harvard Business School Press,HBR's 10 Must Reads on Emotional Intelligence,6,Trade Paperback Nonfiction,2/7/2018
6,33,9781476759739,16,Jonah Berger,Invisible Influence,7,Trade Paperback Nonfiction,2/7/2018
7,55,9781422157992,24.95,Harvard Business School Press,HBR's 10 Must Reads on Managing Yourself,8,Trade Paperback Nonfiction,2/7/2018
10,14,9780393354775,16.95,Michael Lewis,The Undoing Project,9,Trade Paperback Nonfiction,2/7/2018
11,38,9780553447453,17,Matthew Desmond,Evicted,10,Trade Paperback Nonfiction,2/7/2018
12,47,9780804190114,7.99,Timothy Snyder,On Tyranny,11,Trade Paperback Nonfiction,2/7/2018
9,16,9781476796024,17,Alexandra Horowitz,Being a Dog,12,Trade Paperback Nonfiction,2/7/2018
,1,9781591848011,17,Simon Sinek,Leaders Eat Last,13,Trade Paperback Nonfiction,2/7/2018
,1,9780812985795,18,Sheelah Kolhatkar,Black Edge,14,Trade Paperback Nonfiction,2/7/2018
,1,9781591846444,16,Simon Sinek,Start With Why,15,Trade Paperback Nonfiction,2/7/2018
,,9780062498533,17.99,Angie Thomas,The Hate U Give,1,Young Adult,2/7/2018
,,9780525555360,19.99,John Green,Turtles All the Way Down,2,Young Adult,2/7/2018
,,9781250147905,16.99,Melissa Albert,The Hazel Wood,3,Young Adult,2/7/2018
,,9780375815300,22.99,Philip Pullman,The Book of Dust: La Belle Sauvage,4,Young Adult,2/7/2018
,,9780062792167,10.99,Becky Albertalli,Simon vs. the Homo Sapiens Agenda,5,Young Adult,2/7/2018
,,9780525581611,10.99,David Levithan,Every Day,6,Young Adult,2/7/2018
,,9780142423622,10.99,Ruta Sepetys,Salt to the Sea,7,Young Adult,2/7/2018
,,9780316310277,18.99,Holly Black,The Cruel Prince,8,Young Adult,2/7/2018
,,9780385754729,12.99,Markus Zusak,The Book Thief,9,Young Adult,2/7/2018
,,9781250044662,19.99,Marissa Meyer,Renegades,10,Young Adult,2/7/2018
,,9781524769604,10.99,Nicola Yoon,"Everything, Everything",11,Young Adult,2/7/2018
,,9781101939499,17.99,Nic Stone,Dear Martin,12,Young Adult,2/7/2018
,,9780544340688,9.99,Lois Lowry,The Giver,13,Young Adult,2/7/2018
,,9781524714680,17.99,Karen M. McManus,One of Us Is Lying,14,Young Adult,2/7/2018
,,9780142424179,12.99,John Green,The Fault in Our Stars,15,Young Adult,2/7/2018
,,9781250153272,8.99,Madeleine L'Engle,A Wrinkle in Time,1,Early & Middle,2/21/2018
,,9781524720193,16.99,R.J. Palacio,Wonder,2,Early & Middle,2/21/2018
,,9781616205676,16.95,Kelly Barnhill,The Girl Who Drank the Moon,3,Early & Middle,2/21/2018
,,9781101934852,16.99,R.J. Palacio,Auggie & Me,4,Early & Middle,2/21/2018
,,9780062414151,16.99,Erin Entrada Kelly & Isabel Roxas (Illus.),"Hello, Universe",5,Early & Middle,2/21/2018
,,9780525429999,12.99,Victoria Jamieson,All's Faire in Middle School,6,Early & Middle,2/21/2018
,,9780545326995,10.99,Raina Telgemeier,Drama,7,Early & Middle,2/21/2018
,,9780545540605,10.99,Raina Telgemeier,Sisters,8,Early & Middle,2/21/2018
,,9781250043221,16.99,Katherine Applegate,Wishtree,9,Early & Middle,2/21/2018
,,9780147510488,8.99,Kimberly Brubaker Bradley,The War That Saved My Life,10,Early & Middle,2/21/2018
,,9780545132060,10.99,Raina Telgemeier,Smile,11,Early & Middle,2/21/2018
,,9781484787649,16.99,Ronald L. Smith,Black Panther: The Young Prince,12,Early & Middle,2/21/2018
,,9780316413206,6.99,Jim McCann,Black Panther: The Young Prince,13,Early & Middle,2/21/2018
,,9780545540629,10.99,Raina Telgemeier,Ghosts,14,Early & Middle,2/21/2018
,,9780803740167,12.99,Victoria Jamieson,Roller Girl,15,Early & Middle,2/21/2018
2,2,9781616208776,26.95,Tayari Jones,An American Marriage,1,Hardcover Fiction,2/21/2018
1,2,9780312577230,28.99,Kristin Hannah,The Great Alone,2,Hardcover Fiction,2/21/2018
3,7,9780062678416,26.99,A.J. Finn,The Woman in the Window,3,Hardcover Fiction,2/21/2018
6,23,9780735224292,27,Celeste Ng,Little Fires Everywhere,4,Hardcover Fiction,2/21/2018
4,76,9780670026197,27,Amor Towles,A Gentleman in Moscow,5,Hardcover Fiction,2/21/2018
5,6,9780735213180,26,Chloe Benjamin,The Immortalists,6,Hardcover Fiction,2/21/2018
7,20,9781501126062,26,Jesmyn Ward,"Sing, Unburied, Sing",7,Hardcover Fiction,2/21/2018
9,20,9780385514231,29.95,Dan Brown,Origin,8,Hardcover Fiction,2/21/2018
8,3,9780399562457,27,Jojo Moyes,Still Me,9,Hardcover Fiction,2/21/2018
11,7,9780316547611,26,Naomi Alderman,The Power,10,Hardcover Fiction,2/21/2018
14,20,9781476716732,27,Jennifer Egan,Manhattan Beach,11,Hardcover Fiction,2/21/2018
,1,9780812995664,27,Amy Bloom,White Houses,12,Hardcover Fiction,2/21/2018
10,6,9781250130921,26.99,Greer Hendricks,The Wife Between Us,13,Hardcover Fiction,2/21/2018
12,17,9780385541176,28.95,John Grisham,The Rooster Bar,14,Hardcover Fiction,2/21/2018
,1,9780525522874,26,Matt Haig,How to Stop Time,15,Hardcover Fiction,2/21/2018
1,7,9781250158062,30,Michael Wolff,Fire and Fury,1,Hardcover Nonfiction,2/21/2018
2,42,9780393609394,18.95,Neil deGrasse Tyson,Astrophysics for People in a Hurry,2,Hardcover Nonfiction,2/21/2018
3,46,9780062457714,24.99,Mark Manson,The Subtle Art of Not Giving A F*ck,3,Hardcover Nonfiction,2/21/2018
6,3,9781101947319,28.95,Dave Eggers,The Monk of Mokha,4,Hardcover Nonfiction,2/21/2018
5,8,9781501181825,26,Tiffany Haddish,The Last Black Unicorn,5,Hardcover Nonfiction,2/21/2018
,1,9780525427575,35,Steven Pinker,Enlightenment Now,6,Hardcover Nonfiction,2/21/2018
4,18,9781501139154,35,Walter Isaacson,Leonardo da Vinci,7,Hardcover Nonfiction,2/21/2018
,1,9780345816023,25.95,Jordan B. Peterson,12 Rules for Life,8,Hardcover Nonfiction,2/21/2018
11,77,9780062300546,27.99,J.D. Vance,Hillbilly Elegy,9,Hardcover Nonfiction,2/21/2018
14,48,9780399185045,26,The Dalai Lama,The Book of Joy,10,Hardcover Nonfiction,2/21/2018
8,9,9780316512589,50,Pete Souza,Obama: An Intimate Portrait,11,Hardcover Nonfiction,2/21/2018
7,33,9780385534246,28.95,David Grann,Killers of the Flower Moon,12,Hardcover Nonfiction,2/21/2018
10,4,9781524762933,26,Steven Levitsky,How Democracies Die,13,Hardcover Nonfiction,2/21/2018
9,13,9781501124020,30,Ray Dalio,Principles,14,Hardcover Nonfiction,2/21/2018
12,6,9780735210622,28,Daniel H. Pink,When,15,Hardcover Nonfiction,2/21/2018
1,7,9780399593598,9.99,Lee Child,No Middle Name,1,Mass Market,2/21/2018
2,2,9780804190145,9.99,Ernest Cline,Ready Player One,2,Mass Market,2/21/2018
3,32,9781101967683,9.99,John Grisham,The Whistler,3,Mass Market,2/21/2018
5,12,9780062473363,9.99,Michael Crichton,Dragon Teeth,4,Mass Market,2/21/2018
6,31,9780451490049,9.99,Liane Moriarty,The Husband's Secret,5,Mass Market,2/21/2018
4,8,9781478944782,9.99,James Patterson,Never Never,6,Mass Market,2/21/2018
,7,9781501179952,9.99,Doug Stanton,12 Strong,7,Mass Market,2/21/2018
9,7,9780451490445,9.99,Liane Moriarty,What Alice Forgot,8,Mass Market,2/21/2018
7,4,9781101883938,8.99,Danielle Steel,Against All Odds,9,Mass Market,2/21/2018
,175,9780451524935,9.99,George Orwell,1984,10,Mass Market,2/21/2018
2,2,9780812985405,17,George Saunders,Lincoln in the Bardo,1,Trade Paperback Fiction,2/21/2018
1,3,9780345804327,16.95,Colson Whitehead,The Underground Railroad,2,Trade Paperback Fiction,2/21/2018
7,2,9781501160776,17,Fredrik Backman,Beartown,3,Trade Paperback Fiction,2/21/2018
3,14,9781455563920,15.99,Min Jin Lee,Pachinko,4,Trade Paperback Fiction,2/21/2018
5,45,9781501132957,16,Ruth Ware,The Woman in Cabin 10,5,Trade Paperback Fiction,2/21/2018
8,46,9781501173219,17,Anthony Doerr,All the Light We Cannot See,6,Trade Paperback Fiction,2/21/2018
6,7,9780399563096,16,Georgia Hunter,We Were the Lucky Ones,7,Trade Paperback Fiction,2/21/2018
10,2,9780804190138,16,Ernest Cline,Ready Player One,8,Trade Paperback Fiction,2/21/2018
4,7,9780062563675,16.99,Jessica Shattuck,The Women in the Castle,9,Trade Paperback Fiction,2/21/2018
9,43,9780525435006,15.95,Margaret Atwood,The Handmaid's Tale,10,Trade Paperback Fiction,2/21/2018
12,20,9781449486792,16.99,Rupi Kaur,The Sun and Her Flowers,11,Trade Paperback Fiction,2/21/2018
15,6,9781250169440,17,Andre Aciman,Call Me by Your Name,12,Trade Paperback Fiction,2/21/2018
13,76,9781449474256,14.99,Rupi Kaur,Milk and Honey,13,Trade Paperback Fiction,2/21/2018
11,38,9780735221109,16,Shari Lapena,The Couple Next Door,14,Trade Paperback Fiction,2/21/2018
,4,9780143132172,16,Leila Slimani,The Perfect Nanny,15,Trade Paperback Fiction,2/21/2018
1,135,9780762447695,16,Jen Sincero,You Are a Badass,1,Trade Paperback Nonfiction,2/21/2018
2,12,9781101912379,20,Peter Frankopan,The Silk Roads,2,Trade Paperback Nonfiction,2/21/2018
3,8,9781501178511,18,Doug Stanton,12 Strong,3,Trade Paperback Nonfiction,2/21/2018
4,35,9781476759739,16,Jonah Berger,Invisible Influence,4,Trade Paperback Nonfiction,2/21/2018
5,24,9781250076229,16,Atul Gawande,Being Mortal,5,Trade Paperback Nonfiction,2/21/2018
7,77,9781633690196,24.95,Harvard Business School Press,HBR's 10 Must Reads on Emotional Intelligence,6,Trade Paperback Nonfiction,2/21/2018
8,57,9781422157992,24.95,Harvard Business School Press,HBR's 10 Must Reads on Managing Yourself,7,Trade Paperback Nonfiction,2/21/2018
9,40,9780553447453,17,Matthew Desmond,Evicted,8,Trade Paperback Nonfiction,2/21/2018
13,21,9781937006884,9.95,Thich Nhat Hanh,How to Love,9,Trade Paperback Nonfiction,2/21/2018
14,3,9780812985795,18,Sheelah Kolhatkar,Black Edge,10,Trade Paperback Nonfiction,2/21/2018
6,23,9781455540013,15.99,Douglas J. Preston,The Lost City of the Monkey God,11,Trade Paperback Nonfiction,2/21/2018
11,3,9781591846444,16,Simon Sinek,Start With Why,12,Trade Paperback Nonfiction,2/21/2018
10,16,9780393354775,16.95,Michael Lewis,The Undoing Project,13,Trade Paperback Nonfiction,2/21/2018
,48,9780804190114,7.99,Timothy Snyder,On Tyranny,14,Trade Paperback Nonfiction,2/21/2018
,80,9781101911761,7.95,Chimamanda Ngozi Adichie,We Should All Be Feminists,15,Trade Paperback Nonfiction,2/21/2018
,,9780062498533,17.99,Angie Thomas,The Hate U Give,1,Young Adult,2/21/2018
,,9780525555360,19.99,John Green,Turtles All the Way Down,2,Young Adult,2/21/2018
,,9780525581611,10.99,David Levithan,Every Day,3,Young Adult,2/21/2018
,,9780062792167,10.99,Becky Albertalli,Simon vs. the Homo Sapiens Agenda,4,Young Adult,2/21/2018
,,9780375847110,18.99,Tamora Pierce,Tempests and Slaughter,5,Young Adult,2/21/2018
,,9780375815300,22.99,Philip Pullman,The Book of Dust: La Belle Sauvage,6,Young Adult,2/21/2018
,,9781626723634,16.99,Jen Wang,The Prince and the Dressmaker,7,Young Adult,2/21/2018
,,9780316310277,18.99,Holly Black,The Cruel Prince,8,Young Adult,2/21/2018
,,9780525425892,17.99,Nina LaCour,We Are Okay,9,Young Adult,2/21/2018
,,9780142423622,10.99,Ruta Sepetys,Salt to the Sea,10,Young Adult,2/21/2018
,,9781481438254,17.99,Jason Reynolds,Long Way Down,11,Young Adult,2/21/2018
,,9781524769604,10.99,Nicola Yoon,"Everything, Everything",12,Young Adult,2/21/2018
,,9780142424179,12.99,John Green,The Fault in Our Stars,13,Young Adult,2/21/2018
,,9780385754729,12.99,Markus Zusak,The Book Thief,14,Young Adult,2/21/2018
,,9781101939499,17.99,Nic Stone,Dear Martin,15,Young Adult,2/21/2018
,,9781250153272,8.99,Madeleine L'Engle,A Wrinkle in Time,1,Early & Middle,3/7/2018
,,9781524720193,16.99,R.J. Palacio,Wonder,2,Early & Middle,3/7/2018
,,9780062414151,16.99,Erin Entrada Kelly & Isabel Roxas (Illus.),"Hello, Universe",3,Early & Middle,3/7/2018
,,9781338180619,16.99,Brian Selznick,"Baby Monkey, Private Eye",4,Early & Middle,3/7/2018
,,9781101934852,16.99,R.J. Palacio,Auggie & Me,5,Early & Middle,3/7/2018
,,9781484787649,16.99,Ronald L. Smith,Black Panther: The Young Prince,6,Early & Middle,3/7/2018
,,9781616205676,16.95,Kelly Barnhill,The Girl Who Drank the Moon,7,Early & Middle,3/7/2018
,,9780316413206,6.99,Jim McCann,Marvel's Black Panther: The Junior Novel,8,Early & Middle,3/7/2018
,,9780545326995,10.99,Raina Telgemeier,Drama,9,Early & Middle,3/7/2018
,,9780147510488,8.99,Kimberly Brubaker Bradley,The War That Saved My Life,10,Early & Middle,3/7/2018
,,9780312368548,6.99,Madeleine L'Engle,A Wind in the Door,11,Early & Middle,3/7/2018
,,9781250043221,16.99,Katherine Applegate,Wishtree,12,Early & Middle,3/7/2018
,,9780545540629,10.99,Raina Telgemeier,Ghosts,13,Early & Middle,3/7/2018
,,9780545540605,10.99,Raina Telgemeier,Sisters,14,Early & Middle,3/7/2018
,,9780545132060,10.99,Raina Telgemeier,Smile,15,Early & Middle,3/7/2018
2,4,9780312577230,28.99,Kristin Hannah,The Great Alone,1,Hardcover Fiction,3/7/2018
1,4,9781616208776,26.95,Tayari Jones,An American Marriage,2,Hardcover Fiction,3/7/2018
5,25,9780735224292,27,Celeste Ng,Little Fires Everywhere,3,Hardcover Fiction,3/7/2018
3,9,9780062678416,26.99,A.J. Finn,The Woman in the Window,4,Hardcover Fiction,3/7/2018
4,78,9780670026197,27,Amor Towles,A Gentleman in Moscow,5,Hardcover Fiction,3/7/2018
6,8,9780735213180,26,Chloe Benjamin,The Immortalists,6,Hardcover Fiction,3/7/2018
10,22,9780385514231,29.95,Dan Brown,Origin,7,Hardcover Fiction,3/7/2018
7,22,9781501126062,26,Jesmyn Ward,"Sing, Unburied, Sing",8,Hardcover Fiction,3/7/2018
8,9,9780316547611,26,Naomi Alderman,The Power,9,Hardcover Fiction,3/7/2018
,1,9780062797193,26.99,David Mamet,Chicago,10,Hardcover Fiction,3/7/2018
9,5,9780399562457,27,Jojo Moyes,Still Me,11,Hardcover Fiction,3/7/2018
13,3,9780812995664,27,Amy Bloom,White Houses,12,Hardcover Fiction,3/7/2018
11,3,9780525522874,26,Matt Haig,How to Stop Time,13,Hardcover Fiction,3/7/2018
12,22,9781476716732,27,Jennifer Egan,Manhattan Beach,14,Hardcover Fiction,3/7/2018
,7,9781250130921,26.99,Greer Hendricks,The Wife Between Us,15,Hardcover Fiction,3/7/2018
1,9,9781250158062,30,Michael Wolff,Fire and Fury,1,Hardcover Nonfiction,3/7/2018
4,2,9780399590504,28,Tara Westover,Educated,2,Hardcover Nonfiction,3/7/2018
3,48,9780062457714,24.99,Mark Manson,The Subtle Art of Not Giving A F*ck,3,Hardcover Nonfiction,3/7/2018
2,44,9780393609394,18.95,Neil deGrasse Tyson,Astrophysics for People in a Hurry,4,Hardcover Nonfiction,3/7/2018
,1,9780525522607,20,Maria Shriver,I've Been Thinking . . .,5,Hardcover Nonfiction,3/7/2018
5,3,9780525427575,35,Steven Pinker,Enlightenment Now,6,Hardcover Nonfiction,3/7/2018
13,11,9780316512589,50,Pete Souza,Obama: An Intimate Portrait,7,Hardcover Nonfiction,3/7/2018
10,35,9780385534246,28.95,David Grann,Killers of the Flower Moon,8,Hardcover Nonfiction,3/7/2018
7,3,9780345816023,25.95,Jordan B. Peterson,12 Rules for Life,9,Hardcover Nonfiction,3/7/2018
8,10,9781501181825,26,Tiffany Haddish,The Last Black Unicorn,10,Hardcover Nonfiction,3/7/2018
6,20,9781501139154,35,Walter Isaacson,Leonardo da Vinci,11,Hardcover Nonfiction,3/7/2018
11,15,9781501124020,30,Ray Dalio,Principles,12,Hardcover Nonfiction,3/7/2018
,1,9780385542760,29.95,Michio Kaku,"The Future of Humanity: Terraforming Mars, Interstellar Travel, Immortality, and Our Destiny Beyond Earth",13,Hardcover Nonfiction,3/7/2018
,1,9780062319784,27.99,Michelle McNamara,I'll Be Gone in the Dark,14,Hardcover Nonfiction,3/7/2018
9,79,9780062300546,27.99,J.D. Vance,Hillbilly Elegy,15,Hardcover Nonfiction,3/7/2018
1,4,9780812985405,17,George Saunders,Lincoln in the Bardo,1,Trade Paperback Fiction,3/7/2018
2,5,9780345804327,16.95,Colson Whitehead,The Underground Railroad,2,Trade Paperback Fiction,3/7/2018
3,16,9781455563920,15.99,Min Jin Lee,Pachinko,3,Trade Paperback Fiction,3/7/2018
10,2,9780345544971,17,Jodi Picoult,Small Great Things,4,Trade Paperback Fiction,3/7/2018
5,4,9780804190138,16,Ernest Cline,Ready Player One,5,Trade Paperback Fiction,3/7/2018
,1,9780374537159,14,Jeff VanderMeer,Annihilation,6,Trade Paperback Fiction,3/7/2018
4,4,9781501160776,17,Fredrik Backman,Beartown,7,Trade Paperback Fiction,3/7/2018
7,47,9781501132957,16,Ruth Ware,The Woman in Cabin 10,8,Trade Paperback Fiction,3/7/2018
,1,9780735212206,16,Mohsin Hamid,Exit West,9,Trade Paperback Fiction,3/7/2018
9,9,9780399563096,16,Georgia Hunter,We Were the Lucky Ones,10,Trade Paperback Fiction,3/7/2018
14,8,9781250169440,17,Andre Aciman,Call Me by Your Name,11,Trade Paperback Fiction,3/7/2018
6,9,9780062563675,16.99,Jessica Shattuck,The Women in the Castle,12,Trade Paperback Fiction,3/7/2018
12,48,9781501173219,17,Anthony Doerr,All the Light We Cannot See,13,Trade Paperback Fiction,3/7/2018
,1,9781501171574,17,Jason Matthews,Red Sparrow,14,Trade Paperback Fiction,3/7/2018
15,78,9781449474256,14.99,Rupi Kaur,Milk and Honey,15,Trade Paperback Fiction,3/7/2018
1,137,9780762447695,16,Jen Sincero,You Are a Badass,1,Trade Paperback Nonfiction,3/7/2018
2,2,9781101911532,16,Michael Finkel,The Stranger in the Woods,2,Trade Paperback Nonfiction,3/7/2018
3,14,9781101912379,20,Peter Frankopan,The Silk Roads,3,Trade Paperback Nonfiction,3/7/2018
4,10,9781501178511,18,Doug Stanton,12 Strong,4,Trade Paperback Nonfiction,3/7/2018
5,37,9781476759739,16,Jonah Berger,Invisible Influence,5,Trade Paperback Nonfiction,3/7/2018
7,79,9781633690196,24.95,Harvard Business School Press,HBR's 10 Must Reads on Emotional Intelligence,6,Trade Paperback Nonfiction,3/7/2018
6,26,9781250076229,16,Atul Gawande,Being Mortal,7,Trade Paperback Nonfiction,3/7/2018
8,59,9781422157992,24.95,Harvard Business School Press,HBR's 10 Must Reads on Managing Yourself,8,Trade Paperback Nonfiction,3/7/2018
14,25,9781455540013,15.99,Douglas J. Preston,The Lost City of the Monkey God,9,Trade Paperback Nonfiction,3/7/2018
9,42,9780553447453,17,Matthew Desmond,Evicted,10,Trade Paperback Nonfiction,3/7/2018
10,50,9780804190114,7.99,Timothy Snyder,On Tyranny,11,Trade Paperback Nonfiction,3/7/2018
,1,9781250119032,16,Giles Milton,Churchill's Ministry of Ungentlemanly Warfare: The Mavericks Who Plotted Hitler's Defeat,12,Trade Paperback Nonfiction,3/7/2018
11,5,9781591846444,16,Simon Sinek,Start With Why,13,Trade Paperback Nonfiction,3/7/2018
,1,9780316256582,16.99,Amy Cuddy,Presence: Bringing Your Boldest Self to Your Biggest Challenges,14,Trade Paperback Nonfiction,3/7/2018
11,15,9781878424310,12.95,Don Miguel Ruiz,The Four Agreements,15,Trade Paperback Nonfiction,3/7/2018
1,9,9780399593598,9.99,Lee Child,No Middle Name,1,Mass Market,3/7/2018
4,2,9781501168918,9.99,Jason Matthews,Red Sparrow,2,Mass Market,3/7/2018
3,34,9781101967683,9.99,John Grisham,The Whistler,3,Mass Market,3/7/2018
,1,9781455586585,9.99,David Baldacci,The Fix,4,Mass Market,3/7/2018
2,4,9780804190145,9.99,Ernest Cline,Ready Player One,5,Mass Market,3/7/2018
5,10,9781478944782,9.99,James Patterson,Never Never,6,Mass Market,3/7/2018
7,33,9780451490049,9.99,Liane Moriarty,The Husband's Secret,7,Mass Market,3/7/2018
8,14,9780062473363,9.99,Michael Crichton,Dragon Teeth,8,Mass Market,3/7/2018
,3,9780143131830,9.99,Brian Kilmeade,Thomas Jefferson and the Tripoli Pirates,9,Mass Market,3/7/2018
,1,9780399575624,9.99,Clive Cussler,The Cutthroat,10,Mass Market,3/7/2018
,,9780062498533,17.99,Angie Thomas,The Hate U Give,1,Young Adult,3/7/2018
,,9780525555360,19.99,John Green,Turtles All the Way Down,2,Young Adult,3/7/2018
,,9780062792167,10.99,Becky Albertalli,Simon vs. the Homo Sapiens Agenda,3,Young Adult,3/7/2018
,,9780525581611,10.99,David Levithan,Every Day,4,Young Adult,3/7/2018
,,9780375815300,22.99,Philip Pullman,The Book of Dust: La Belle Sauvage,5,Young Adult,3/7/2018
,,9781524769604,10.99,Nicola Yoon,"Everything, Everything",6,Young Adult,3/7/2018
,,9780375847110,18.99,Tamora Pierce,Tempests and Slaughter,7,Young Adult,3/7/2018
,,9781626723634,16.99,Jen Wang,The Prince and the Dressmaker,8,Young Adult,3/7/2018
,,9781101931288,18.99,Rachel Hartman,Tess of the Road,9,Young Adult,3/7/2018
,,9780142424179,12.99,John Green,The Fault in Our Stars,10,Young Adult,3/7/2018
,,9780385754729,12.99,Markus Zusak,The Book Thief,11,Young Adult,3/7/2018
,,9780553496680,18.99,Nicola Yoon,The Sun Is Also a Star,12,Young Adult,3/7/2018
,,9780316310277,18.99,Holly Black,The Cruel Prince,13,Young Adult,3/7/2018
,,9780525425892,17.99,Nina LaCour,We Are Okay,14,Young Adult,3/7/2018
,,9781250044662,19.99,Marissa Meyer,Renegades,15,Young Adult,3/7/2018
,,9781524720193,16.99,R.J. Palacio,Wonder,1,Early & Middle,1/3/2018
,,9781250153272,8.99,Madeleine L'Engle,A Wrinkle in Time,2,Early & Middle,1/3/2018
,,9781101934852,16.99,R.J. Palacio,Auggie & Me,3,Early & Middle,1/3/2018
,,9781616205676,16.95,Kelly Barnhill,The Girl Who Drank the Moon,4,Early & Middle,1/3/2018
,,9780525429999,12.99,Victoria Jamieson,All's Faire in Middle School,5,Early & Middle,1/3/2018
,,9780545326995,10.99,Raina Telgemeier,Drama,6,Early & Middle,1/3/2018
,,9781465455512,22.99,Pablo Hidalgo,Star Wars the Last Jedi: The Visual Dictionary,7,Early & Middle,1/3/2018
,,9780545132060,10.99,Raina Telgemeier,Smile,8,Early & Middle,1/3/2018
,,9780147510488,8.99,Kimberly Brubaker Bradley,The War That Saved My Life,9,Early & Middle,1/3/2018
,,9780545540629,10.99,Raina Telgemeier,Ghosts,10,Early & Middle,1/3/2018
,,9781250043221,16.99,Katherine Applegate,Wishtree,11,Early & Middle,1/3/2018
,,9780399559181,9.99,R.J. Palacio,365 Days of Wonder: Mr. Browne's Precepts,12,Early & Middle,1/3/2018
,,9780316508889,17.99,Jessica Townsend,Nevermoor: The Trials of Morrigan Crow,13,Early & Middle,1/3/2018
,,9780545540605,10.99,Raina Telgemeier,Sisters,14,Early & Middle,1/3/2018
,,9780316514392,21.99,Pete Souza,Dream Big Dreams: Photographs from Barack Obama's Inspiring and Historic Presidency,15,Early & Middle,1/3/2018
,,9781250153272,8.99,Madeleine L'Engle,A Wrinkle in Time,1,Early & Middle,1/10/2018
,,9781524720193,16.99,R.J. Palacio,Wonder,2,Early & Middle,1/10/2018
,,9781101934852,16.99,R.J. Palacio,Auggie & Me,3,Early & Middle,1/10/2018
,,9781616205676,16.95,Kelly Barnhill,The Girl Who Drank the Moon,4,Early & Middle,1/10/2018
,,9780525429999,12.99,Victoria Jamieson,All's Faire in Middle School,5,Early & Middle,1/10/2018
,,9780545326995,10.99,Raina Telgemeier,Drama,6,Early & Middle,1/10/2018
,,9780147510488,8.99,Kimberly Brubaker Bradley,The War That Saved My Life,7,Early & Middle,1/10/2018
,,9780545132060,10.99,Raina Telgemeier,Smile,8,Early & Middle,1/10/2018
,,9780399559181,9.99,R.J. Palacio,365 Days of Wonder: Mr. Browne's Precepts,9,Early & Middle,1/10/2018
,,9780545540605,10.99,Raina Telgemeier,Sisters,10,Early & Middle,1/10/2018
,,9780316514392,21.99,Pete Souza,Dream Big Dreams: Photographs from Barack Obama's Inspiring and Historic Presidency,11,Early & Middle,1/10/2018
,,9780525429203,16.99,Kimberly Brubaker Bradley,The War I Finally Won,12,Early & Middle,1/10/2018
,,9781250043221,16.99,Katherine Applegate,Wishtree,13,Early & Middle,1/10/2018
,,9781626727854,12.99,Shannon Hale & LeUyen Pham (Illus.),Real Friends,14,Early & Middle,1/10/2018
,,9780803740167,12.99,Victoria Jamieson,Roller Girl,15,Early & Middle,1/10/2018
,,9781250153272,8.99,Madeleine L'Engle,A Wrinkle in Time,1,Early & Middle,1/17/2018
,,9781524720193,16.99,R.J. Palacio,Wonder,2,Early & Middle,1/17/2018
,,9781101934852,16.99,R.J. Palacio,Auggie & Me,3,Early & Middle,1/17/2018
,,9780525429999,12.99,Victoria Jamieson,All's Faire in Middle School,4,Early & Middle,1/17/2018
,,9781616205676,16.95,Kelly Barnhill,The Girl Who Drank the Moon,5,Early & Middle,1/17/2018
,,9780147510488,8.99,Kimberly Brubaker Bradley,The War That Saved My Life,6,Early & Middle,1/17/2018
,,9781250043221,16.99,Katherine Applegate,Wishtree,7,Early & Middle,1/17/2018
,,9780316514392,21.99,Pete Souza,Dream Big Dreams: Photographs from Barack Obama's Inspiring and Historic Presidency,8,Early & Middle,1/17/2018
,,9780525429203,16.99,Kimberly Brubaker Bradley,The War I Finally Won,9,Early & Middle,1/17/2018
,,9780803740167,12.99,Victoria Jamieson,Roller Girl,10,Early & Middle,1/17/2018
,,9780062377012,16.99,Sara Pennypacker & Jon Klassen (Illus.),Pax,11,Early & Middle,1/17/2018
,,9780545326995,10.99,Raina Telgemeier,Drama,12,Early & Middle,1/17/2018
,,9780545540605,10.99,Raina Telgemeier,Sisters,13,Early & Middle,1/17/2018
,,9780316475112,16.99,Vashti Harrison,Little Leaders: Bold Women in Black History,14,Early & Middle,1/17/2018
,,9780545540629,10.99,Raina Telgemeier,Ghosts,15,Early & Middle,1/17/2018
,,9781250153272,8.99,Madeleine L'Engle,A Wrinkle in Time,1,Early & Middle,1/24/2018
,,9781524720193,16.99,R.J. Palacio,Wonder,2,Early & Middle,1/24/2018
,,9780545326995,10.99,Raina Telgemeier,Drama,3,Early & Middle,1/24/2018
,,9781101934852,16.99,R.J. Palacio,Auggie & Me,4,Early & Middle,1/24/2018
,,9780147510488,8.99,Kimberly Brubaker Bradley,The War That Saved My Life,5,Early & Middle,1/24/2018
,,9780316475112,16.99,Vashti Harrison,Little Leaders: Bold Women in Black History,6,Early & Middle,1/24/2018
,,9781616205676,16.95,Kelly Barnhill,The Girl Who Drank the Moon,7,Early & Middle,1/24/2018
,,9780525429999,12.99,Victoria Jamieson,All's Faire in Middle School,8,Early & Middle,1/24/2018
